rank,cctvId,cctvName,region,source,address,suggestedReviewTier,suggestedIdentificationUse,suggestedDirectionStatus,suggestionScore,suggestionReason,streamUrl
29,IUTIC-L020176,인천교펌프장입구사거리,인천,incheon-utic,인천 인천교펌프장입구사거리,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:사거리; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L507.stream/playlist.m3u8
30,IUTIC-L020194,중봉교차로,인천,incheon-utic,인천 중봉교차로,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:교차로; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L527.stream/playlist.m3u8
31,IUTIC-L020202,청라-문점교 삼거리#2,인천,incheon-utic,인천 청라-문점교 삼거리#2,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:삼거리; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/F1002.stream/playlist.m3u8
32,IUTIC-L020222,효성교사거리,인천,incheon-utic,인천 효성교사거리,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,82,near-token:사거리; structure-token:교; source:incheon-utic,https://cctv.fitic.go.kr/cctv/L614.stream/playlist.m3u8
33,GTIC-CCTV016,고정교차로,김포,gimpo-its-main,통진읍 고정리 942-4,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,74,near-token:교차로; structure-token:교; source:gimpo-main,https://gimpo.cctvstream.net:8443/c016/playlist.m3u8
34,GTIC-CCTV003,구래역사거리,김포,gimpo-its-main,구래동 6907 교통섬,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,74,near-token:사거리; structure-token:교; source:gimpo-main,https://gimpo.cctvstream.net:8443/c003/playlist.m3u8
35,GTIC-CCTV013,금빛수로1교사거리,김포,gimpo-its-main,장기동 2081-1,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,74,near-token:사거리; structure-token:교; source:gimpo-main,https://gimpo.cctvstream.net:8443/c013/playlist.m3u8
36,GTIC-CCTV019,대명교차로,김포,gimpo-its-main,대곶면 대명리 748-1,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,74,near-token:교차로; structure-token:교; source:gimpo-main,https://gimpo.cctvstream.net:8443/c019/playlist.m3u8
37,GTIC-CCTV034,대명초교사거리,김포,gimpo-its-main,대곶면 대명리 411-15,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,74,near-token:사거리; structure-token:교; source:gimpo-main,https://gimpo.cctvstream.net:8443/c033/playlist.m3u8
38,GTIC-CCTV018,대명항교차로(초지대교앞),김포,gimpo-its-main,대곶면 약암리 1137-1,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,74,near-token:교차로; structure-token:교; source:gimpo-main,https://gimpo.cctvstream.net:8443/c018/playlist.m3u8
39,GTIC-CCTV027,발산교차로,김포,gimpo-its-main,장기동 12-4,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,74,near-token:교차로; structure-token:교; source:gimpo-main,https://gimpo.cctvstream.net:8443/c026/playlist.m3u8
40,GTIC-CCTV039,북변IC(북변교),김포,gimpo-its-main,걸포동 907-4,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,74,near-token:ic; structure-token:교; source:gimpo-main,https://gimpo.cctvstream.net:8443/c038/playlist.m3u8
